"","0","1","p","test"
"n","13668","3417","",""
"admission_age (mean (SD))","64.99 (16.44)","69.77 (15.22)","<0.001",""
"gender = M (%)","7827 (57.3)","1861 (54.5)","0.003",""
"los_icu (mean (SD))","4.06 (5.47)","6.13 (5.42)","<0.001",""
"aniongap_min (mean (SD))","12.92 (3.36)","15.20 (4.67)","<0.001",""
"aniongap_max (mean (SD))","15.40 (4.21)","19.26 (6.42)","<0.001",""
"albumin_min (mean (SD))","3.15 (0.66)","2.87 (0.73)","<0.001",""
"bicarbonate_min (mean (SD))","22.30 (4.54)","19.56 (6.07)","<0.001",""
"bicarbonate_max (mean (SD))","24.44 (4.17)","22.92 (5.30)","<0.001",""
"bilirubin_min (mean (SD))","1.57 (3.61)","2.87 (6.22)","<0.001",""
"bilirubin_max (mean (SD))","1.78 (3.93)","3.32 (6.89)","<0.001",""
"creatinine_min (mean (SD))","1.28 (1.37)","1.72 (1.46)","<0.001",""
"creatinine_max (mean (SD))","1.49 (1.81)","2.09 (1.72)","<0.001",""
"chloride_min (mean (SD))","102.09 (6.15)","100.86 (7.32)","<0.001",""
"chloride_max (mean (SD))","105.79 (6.93)","105.69 (8.11)","0.480",""
"hematocrit_min (mean (SD))","30.08 (6.73)","29.63 (6.98)","<0.001",""
"hematocrit_max (mean (SD))","34.63 (6.03)","34.04 (6.60)","<0.001",""
"hemoglobin_min (mean (SD))","9.97 (2.27)","9.66 (2.34)","<0.001",""
"hemoglobin_max (mean (SD))","11.39 (2.11)","11.03 (2.24)","<0.001",""
"lactate_min (mean (SD))","1.49 (0.78)","2.46 (2.09)","<0.001",""
"lactate_max (mean (SD))","2.55 (1.84)","4.62 (4.16)","<0.001",""
"lactate_mean (mean (SD))","1.99 (1.17)","3.49 (2.97)","<0.001",""
"magnesium_min (mean (SD))","1.91 (0.39)","1.90 (0.39)","0.144",""
"magnesium_max (mean (SD))","2.22 (0.92)","2.31 (0.96)","<0.001",""
"phosphate_min (mean (SD))","3.30 (1.12)","3.73 (1.60)","<0.001",""
"phosphate_max (mean (SD))","3.90 (1.44)","4.93 (2.12)","<0.001",""
"platelet_min (mean (SD))","192.11 (103.36)","175.86 (113.93)","<0.001",""
"platelet_max (mean (SD))","219.29 (109.84)","213.06 (125.11)","0.004",""
"potassium_min (mean (SD))","3.83 (0.54)","3.88 (0.68)","<0.001",""
"potassium_max (mean (SD))","4.58 (0.85)","4.79 (0.94)","<0.001",""
"ptt_min (mean (SD))","32.27 (12.53)","36.76 (16.55)","<0.001",""
"ptt_max (mean (SD))","42.31 (28.27)","54.38 (37.52)","<0.001",""
"inr_min (mean (SD))","1.37 (0.64)","1.65 (0.93)","<0.001",""
"inr_max (mean (SD))","1.54 (0.98)","2.07 (1.59)","<0.001",""
"pt_min (mean (SD))","14.96 (6.62)","17.91 (9.58)","<0.001",""
"pt_max (mean (SD))","16.72 (9.59)","22.37 (16.87)","<0.001",""
"sodium_min (mean (SD))","136.35 (5.10)","136.00 (6.09)","0.001",""
"sodium_max (mean (SD))","139.62 (4.71)","140.45 (6.61)","<0.001",""
"bun_min (mean (SD))","23.34 (19.43)","34.84 (25.82)","<0.001",""
"bun_max (mean (SD))","26.86 (21.97)","40.51 (28.36)","<0.001",""
"bun_mean (mean (SD))","25.09 (20.49)","37.71 (26.90)","<0.001",""
"wbc_min (mean (SD))","10.44 (6.86)","12.59 (9.97)","<0.001",""
"wbc_max (mean (SD))","13.39 (9.87)","16.76 (13.64)","<0.001",""
"wbc_mean (mean (SD))","11.89 (7.88)","14.61 (11.51)","<0.001",""
